id,productName,size,caseSize
1,Price Chopper Vitamin D,128,4
2,Price Chopper 2%,128,4
3,Price Chopper 1%,128,4
4,Price Chopper Skim,128,4
5,Belfonte Vitamin D,128,4
6,Belfonte 2%,128,4
7,Belfonte 1%,128,4
8,Belfonte Skim,128,4
9,Hiland Vitamin D,128,4
10,Hiland 2%,128,4
11,Hiland 1%,128,4
12,Hiland Skim,128,4
13,A&E Vitamin D,128,4
14,A&E Chopper 2%,128,4
15,A&E Chopper 1%,128,4
16,A&E Chopper Skim,128,4
17,Price Chopper Vitamin D,64,9
18,Price Chopper 2%,64,9
19,Price Chopper 1%,64,9
20,Price Chopper Skim,64,9
21,Belfonte Vitamin D,64,9
22,Belfonte 2%,64,9
23,Belfonte 1%,64,9
24,Belfonte Skim,64,9
25,Hiland Vitamin D,64,9
26,Hiland 2%,64,9
27,Hiland 1%,64,9
28,Hiland Skim,64,9
29,A&E Vitamin D,64,9
30,A&E Chopper 2%,64,9
31,A&E Chopper 1%,64,9
32,A&E Chopper Skim,64,9
33,Price Chopper Vitamin D,32,9
34,Price Chopper 2%,32,9
35,Price Chopper 1%,32,9
36,Price Chopper Skim,32,9
37,Belfonte Vitamin D,32,9
38,Belfonte 2%,32,9
39,Belfonte 1%,32,9
40,Belfonte Skim,32,9
41,Hiland Vitamin D,32,9
42,Hiland 2%,32,9
43,Hiland 1%,32,9
44,Hiland Skim,32,9
